idencuesta,ola,ola_num,muestra,estrato_disenno,segmento_disenno,ponderador02,m0_sexo,m02,m01,m36,m0_edad,n_visitas_entr,responde,m02_fac,m01_fac,m36_fac
7401083,2018,2,1,Ciudades Medianas,740108,1.31778967380524,1,1,6,4,29,2,1,Trabajo Remunerado,Técnica,Soltero
7401083,2019,3,1,Ciudades Medianas,740108,0.511331617832184,1,1,6,2,30,6,1,Trabajo Remunerado,Técnica,En Pareja
7401083,2021,5,1,Ciudades Medianas,740108,0.104330204427242,1,1,6,4,31,4,1,Trabajo Remunerado,Técnica,Soltero
7401083,2022,6,1,Ciudades Medianas,740108,0.628285706043243,1,1,6,4,33,,1,Trabajo Remunerado,Técnica,Soltero
7401091,2016,0,1,Ciudades Medianas,740109,0.629000008106232,1,1,3,7,31,4,1,Trabajo Remunerado,Básica,Soltero
7401091,2017,1,1,Ciudades Medianas,740109,0.535404920578003,1,1,3,,32,4,1,Trabajo Remunerado,Básica,
7401091,2018,2,1,Ciudades Medianas,740109,,,,,,,,0,,,
7401091,2019,3,1,Ciudades Medianas,740109,,,,,,,,0,,,
7401091,2021,5,1,Ciudades Medianas,740109,,,,,,,,0,,,
7401091,2022,6,1,Ciudades Medianas,740109,,,,,,,,0,,,
7401093,2016,0,1,Ciudades Medianas,740109,1.41799998283386,1,1,5,1,46,3,1,Trabajo Remunerado,Media,En Pareja
7401093,2017,1,1,Ciudades Medianas,740109,1.17080366611481,1,1,5,,47,1,1,Trabajo Remunerado,Media,
7401093,2018,2,1,Ciudades Medianas,740109,1.75705301761627,1,1,5,1,48,1,1,Trabajo Remunerado,Media,En Pareja
7401093,2019,3,1,Ciudades Medianas,740109,0.454517006874085,1,1,5,1,49,3,1,Trabajo Remunerado,Media,En Pareja
7401093,2021,5,1,Ciudades Medianas,740109,0.521651029586792,1,2,5,1,51,2,1,Trabajo Remunerado,Media,En Pareja
7401093,2022,6,1,Ciudades Medianas,740109,0.698095262050629,1,1,5,1,52,,1,Trabajo Remunerado,Media,En Pareja
7401101,2016,0,1,Ciudades Medianas,740110,0.629000008106232,2,1,2,2,35,2,1,Trabajo Remunerado,Básica,En Pareja
7401101,2017,1,1,Ciudades Medianas,740110,0.535404920578003,2,7,2,,36,1,1,Trabajo Doméstico No Remunerado,Básica,
7401101,2018,2,1,Ciudades Medianas,740110,0.419089198112488,2,2,2,2,37,4,1,Trabajo Remunerado,Básica,En Pareja
7401101,2019,3,1,Ciudades Medianas,740110,0.392589658498764,2,2,2,2,39,6,1,Trabajo Remunerado,Básica,En Pareja
7401101,2021,5,1,Ciudades Medianas,740110,0.352192670106888,2,2,2,4,40,2,1,Trabajo Remunerado,Básica,Soltero
7401101,2022,6,1,Ciudades Medianas,740110,0.823480188846588,2,1,2,4,41,,1,Trabajo Remunerado,Básica,Soltero
7401102,2016,0,1,Ciudades Medianas,740110,0.944999992847443,1,1,3,1,54,3,1,Trabajo Remunerado,Básica,En Pareja
7401102,2017,1,1,Ciudades Medianas,740110,0.780535876750946,1,1,3,,55,3,1,Trabajo Remunerado,Básica,
7401102,2018,2,1,Ciudades Medianas,740110,0.585684418678284,1,1,4,1,56,4,1,Trabajo Remunerado,Media,En Pareja
7401102,2019,3,1,Ciudades Medianas,740110,0.909034013748169,1,1,3,1,57,6,1,Trabajo Remunerado,Básica,En Pareja
7401102,2021,5,1,Ciudades Medianas,740110,1.11285555362701,1,2,3,1,58,9,1,Trabajo Remunerado,Básica,En Pareja
7401102,2022,6,1,Ciudades Medianas,740110,0.744634985923767,1,1,3,1,60,,1,Trabajo Remunerado,Básica,En Pareja
7401111,2016,0,1,Ciudades Medianas,740111,0.629000008106232,2,4,6,4,21,6,1,Otras Categorías,Técnica,Soltero
7401111,2017,1,1,Ciudades Medianas,740111,0.535404860973358,2,9,6,,22,2,1,Otras Categorías,Técnica,
7401111,2018,2,1,Ciudades Medianas,740111,0.419089138507843,2,3,6,4,24,1,1,Trabajo Remunerado,Técnica,Soltero
7401111,2019,3,1,Ciudades Medianas,740111,0.257636904716492,2,4,7,4,25,3,1,Otras Categorías,Técnica,Soltero
7401111,2021,5,1,Ciudades Medianas,740111,0.165090307593346,2,7,6,4,26,2,1,Trabajo Doméstico No Remunerado,Técnica,Soltero
7401111,2022,6,1,Ciudades Medianas,740111,0.247044026851654,2,7,6,4,28,,1,Trabajo Doméstico No Remunerado,Técnica,Soltero
7401112,2016,0,1,Ciudades Medianas,740111,0.314000010490418,2,6,5,4,33,6,1,Desempleado,Media,Soltero
7401112,2017,1,1,Ciudades Medianas,740111,0.267702430486679,2,6,4,,34,1,1,Desempleado,Media,
7401112,2018,2,1,Ciudades Medianas,740111,0.209544569253922,2,2,5,4,35,1,1,Trabajo Remunerado,Media,Soltero
7401112,2019,3,1,Ciudades Medianas,740111,0.110415831208229,2,2,5,4,36,3,1,Trabajo Remunerado,Media,Soltero
7401112,2021,5,1,Ciudades Medianas,740111,0.066036120057106,2,2,5,4,38,2,1,Trabajo Remunerado,Media,Soltero
7401112,2022,6,1,Ciudades Medianas,740111,0.123522013425827,2,2,5,1,39,,1,Trabajo Remunerado,Media,En Pareja
7401122,2016,0,1,Ciudades Medianas,740112,0.629000008106232,2,7,7,1,35,4,1,Trabajo Doméstico No Remunerado,Técnica,En Pareja
7401122,2017,1,1,Ciudades Medianas,740112,,,,,,,,0,,,
7401122,2018,2,1,Ciudades Medianas,740112,,,,,,,,0,,,
7401122,2019,3,1,Ciudades Medianas,740112,,,,,,,,0,,,
7401122,2021,5,1,Ciudades Medianas,740112,,,,,,,,0,,,
7401122,2022,6,1,Ciudades Medianas,740112,,,,,,,,0,,,
7401123,2016,0,1,Ciudades Medianas,740112,0.629000008106232,2,1,9,4,47,2,1,Trabajo Remunerado,Universitaria,Soltero
7401123,2017,1,1,Ciudades Medianas,740112,,,,,,,,0,,,
7401123,2018,2,1,Ciudades Medianas,740112,0.838178277015686,2,1,9,4,49,2,1,Trabajo Remunerado,Universitaria,Soltero
7401123,2019,3,1,Ciudades Medianas,740112,,,,,,,,0,,,
7401123,2021,5,1,Ciudades Medianas,740112,0.352192670106888,2,1,9,4,51,2,1,Trabajo Remunerado,Universitaria,Soltero
7401123,2022,6,1,Ciudades Medianas,740112,0.658784151077271,2,1,9,4,53,,1,Trabajo Remunerado,Universitaria,Soltero
7401131,2016,0,1,Ciudades Medianas,740113,0.629000008106232,2,2,2,2,47,1,1,Trabajo Remunerado,Básica,En Pareja
7401131,2017,1,1,Ciudades Medianas,740113,0.535404860973358,2,2,3,,49,1,1,Trabajo Remunerado,Básica,
7401131,2018,2,1,Ciudades Medianas,740113,0.419089168310165,2,2,3,2,50,2,1,Trabajo Remunerado,Básica,En Pareja
7401131,2019,3,1,Ciudades Medianas,740113,0.196294829249382,2,2,3,2,51,3,1,Trabajo Remunerado,Básica,En Pareja
7401131,2021,5,1,Ciudades Medianas,740113,0.176096335053444,2,2,3,2,53,9,1,Trabajo Remunerado,Básica,En Pareja
7401131,2022,6,1,Ciudades Medianas,740113,0.329392075538635,2,2,3,7,54,,1,Trabajo Remunerado,Básica,Soltero
7401133,2016,0,1,Ciudades Medianas,740113,1.25800001621246,2,1,4,2,50,1,1,Trabajo Remunerado,Media,En Pareja
7401133,2017,1,1,Ciudades Medianas,740113,1.07080972194672,2,1,4,,50,1,1,Trabajo Remunerado,Media,
7401133,2018,2,1,Ciudades Medianas,740113,0.838178336620331,2,1,4,5,52,1,1,Trabajo Remunerado,Media,Soltero
7401133,2019,3,1,Ciudades Medianas,740113,0.29444220662117,2,1,3,2,53,3,1,Trabajo Remunerado,Básica,En Pareja
7401133,2021,5,1,Ciudades Medianas,740113,0.352192670106888,2,8,4,5,55,2,1,Otras Categorías,Media,Soltero
7401133,2022,6,1,Ciudades Medianas,740113,0.658784151077271,2,1,5,1,56,,1,Trabajo Remunerado,Media,En Pareja
7401141,2016,0,1,Ciudades Medianas,740114,0.944999992847443,1,1,4,1,46,5,1,Trabajo Remunerado,Media,En Pareja
7401141,2017,1,1,Ciudades Medianas,740114,0.780535817146301,1,1,4,,48,2,1,Trabajo Remunerado,Media,
7401141,2018,2,1,Ciudades Medianas,740114,0.878526508808136,1,1,4,2,50,1,1,Trabajo Remunerado,Media,En Pareja
7401141,2019,3,1,Ciudades Medianas,740114,0.568146288394928,1,2,4,1,51,3,1,Trabajo Remunerado,Media,En Pareja
7401141,2021,5,1,Ciudades Medianas,740114,0.625981211662293,1,2,4,1,52,2,1,Trabajo Remunerado,Media,En Pareja
7401141,2022,6,1,Ciudades Medianas,740114,0.558476209640503,1,2,4,1,54,,1,Trabajo Remunerado,Media,En Pareja
7401142,2016,0,1,Ciudades Medianas,740114,0.629999995231628,1,2,5,4,22,4,1,Trabajo Remunerado,Media,Soltero
7401142,2017,1,1,Ciudades Medianas,740114,0.520357251167297,1,1,5,,24,13,1,Trabajo Remunerado,Media,
7401142,2018,2,1,Ciudades Medianas,740114,0.585684359073639,1,6,5,1,25,2,1,Desempleado,Media,En Pareja
7401142,2019,3,1,Ciudades Medianas,740114,0.568146288394928,1,1,5,1,26,3,1,Trabajo Remunerado,Media,En Pareja
7401142,2021,5,1,Ciudades Medianas,740114,,,,,,,,0,,,
7401142,2022,6,1,Ciudades Medianas,740114,0.558476209640503,1,1,5,1,29,,1,Trabajo Remunerado,Media,En Pareja
7401143,2016,0,1,Ciudades Medianas,740114,1.25999999046326,1,4,4,4,19,7,1,Otras Categorías,Media,Soltero
7401143,2017,1,1,Ciudades Medianas,740114,1.04071450233459,1,3,6,,19,2,1,Trabajo Remunerado,Técnica,
7401143,2018,2,1,Ciudades Medianas,740114,1.17136871814728,1,3,6,4,21,3,1,Trabajo Remunerado,Técnica,Soltero
7401143,2019,3,1,Ciudades Medianas,740114,0.681775510311127,1,1,7,4,22,3,1,Trabajo Remunerado,Técnica,Soltero
7401143,2021,5,1,Ciudades Medianas,740114,0.782476484775543,1,1,7,4,23,2,1,Trabajo Remunerado,Técnica,Soltero
7401143,2022,6,1,Ciudades Medianas,740114,0.837714314460754,1,1,7,4,25,,1,Trabajo Remunerado,Técnica,Soltero
7401151,2016,0,1,Ciudades Medianas,740115,0.209999993443489,2,1,7,7,49,2,1,Trabajo Remunerado,Técnica,Soltero
7401151,2017,1,1,Ciudades Medianas,740115,0.178468301892281,2,1,7,,50,1,1,Trabajo Remunerado,Técnica,
7401151,2018,2,1,Ciudades Medianas,740115,0.209544569253922,2,2,7,8,52,2,1,Trabajo Remunerado,Técnica,Soltero
7401151,2019,3,1,Ciudades Medianas,740115,0.220831677317619,2,2,7,8,53,4,1,Trabajo Remunerado,Técnica,Soltero
7401151,2021,5,1,Ciudades Medianas,740115,0.247635453939438,2,1,7,1,53,2,1,Trabajo Remunerado,Técnica,En Pareja
7401151,2022,6,1,Ciudades Medianas,740115,,,,,,,,0,,,
7401152,2016,0,1,Ciudades Medianas,740115,0.418999999761581,2,1,8,7,60,3,1,Trabajo Remunerado,Universitaria,Soltero
7401152,2017,1,1,Ciudades Medianas,740115,0.356936603784561,2,1,5,,61,13,1,Trabajo Remunerado,Media,
7401152,2018,2,1,Ciudades Medianas,740115,0.419089138507843,2,1,5,8,62,9,1,Trabajo Remunerado,Media,Soltero
7401152,2019,3,1,Ciudades Medianas,740115,,,,,,,,0,,,
7401152,2021,5,1,Ciudades Medianas,740115,,,,,,,,0,,,
7401152,2022,6,1,Ciudades Medianas,740115,,,,,,,,0,,,
7401153,2016,0,1,Ciudades Medianas,740115,0.418999999761581,2,4,8,4,23,2,1,Otras Categorías,Universitaria,Soltero
7401153,2017,1,1,Ciudades Medianas,740115,0.356936603784561,2,4,8,,24,17,1,Otras Categorías,Universitaria,
7401153,2018,2,1,Ciudades Medianas,740115,0.419089138507843,2,6,9,2,25,7,1,Desempleado,Universitaria,En Pareja
7401153,2019,3,1,Ciudades Medianas,740115,0.165623739361763,2,6,10,2,26,4,1,Desempleado,Universitaria,En Pareja
7401153,2021,5,1,Ciudades Medianas,740115,0.148581266403198,2,6,9,4,27,4,1,Desempleado,Universitaria,Soltero
7401153,2022,6,1,Ciudades Medianas,740115,0.370566099882126,2,1,9,2,29,,1,Trabajo Remunerado,Universitaria,En Pareja
7401162,2016,0,1,Ciudades Medianas,740116,1.25800001621246,2,5,9,1,63,2,1,Jubilado,Universitaria,En Pareja
7401162,2017,1,1,Ciudades Medianas,740116,1.07080984115601,2,5,9,,63,1,1,Jubilado,Universitaria,
7401162,2018,2,1,Ciudades Medianas,740116,0.419089168310165,2,5,9,1,66,1,1,Jubilado,Universitaria,En Pareja
7401162,2019,3,1,Ciudades Medianas,740116,0.196294829249382,2,5,9,1,67,3,1,Jubilado,Universitaria,En Pareja
7401162,2021,5,1,Ciudades Medianas,740116,,,,,,,,0,,,
7401162,2022,6,1,Ciudades Medianas,740116,,,,,,,,0,,,
7401172,2016,0,1,Ciudades Medianas,740117,0.944999992847443,1,1,7,1,42,1,1,Trabajo Remunerado,Técnica,En Pareja
7401172,2017,1,1,Ciudades Medianas,740117,0.780535876750946,1,1,7,,43,15,1,Trabajo Remunerado,Técnica,
7401172,2018,2,1,Ciudades Medianas,740117,0.585684299468994,1,1,7,1,44,1,1,Trabajo Remunerado,Técnica,En Pareja
7401172,2019,3,1,Ciudades Medianas,740117,,,,,,,,0,,,
7401172,2021,5,1,Ciudades Medianas,740117,,,,,,,,0,,,
7401172,2022,6,1,Ciudades Medianas,740117,,,,,,,,0,,,
7401173,2016,0,1,Ciudades Medianas,740117,0.629000008106232,2,7,8,4,24,1,1,Trabajo Doméstico No Remunerado,Universitaria,Soltero
7401173,2017,1,1,Ciudades Medianas,740117,0.535404920578003,2,9,6,,25,2,1,Otras Categorías,Técnica,
7401173,2018,2,1,Ciudades Medianas,740117,0.419089138507843,2,6,8,4,26,1,1,Desempleado,Universitaria,Soltero
7401173,2019,3,1,Ciudades Medianas,740117,0.368052780628204,2,1,8,4,27,3,1,Trabajo Remunerado,Universitaria,Soltero
7401173,2021,5,1,Ciudades Medianas,740117,,,,,,,,0,,,
7401173,2022,6,1,Ciudades Medianas,740117,0.617610096931458,2,1,8,4,30,,1,Trabajo Remunerado,Universitaria,Soltero
7401182,2016,0,1,Ciudades Medianas,740118,1.88999998569489,1,4,4,4,22,2,1,Otras Categorías,Media,Soltero
7401182,2017,1,1,Ciudades Medianas,740118,1.5610716342926,1,1,8,,23,18,1,Trabajo Remunerado,Universitaria,
7401182,2018,2,1,Ciudades Medianas,740118,2.34273743629456,1,3,8,4,24,2,1,Trabajo Remunerado,Universitaria,Soltero
7401182,2019,3,1,Ciudades Medianas,740118,0.909034013748169,1,3,8,4,25,3,1,Trabajo Remunerado,Universitaria,Soltero
7401182,2021,5,1,Ciudades Medianas,740118,1.11285555362701,1,1,9,2,26,5,1,Trabajo Remunerado,Universitaria,En Pareja
7401182,2022,6,1,Ciudades Medianas,740118,,,,,,,,0,,,
7401183,2016,0,1,Ciudades Medianas,740118,0.314000010490418,2,1,5,8,49,2,1,Trabajo Remunerado,Media,Soltero
7401183,2017,1,1,Ciudades Medianas,740118,0.267702430486679,2,7,5,,50,2,1,Trabajo Doméstico No Remunerado,Media,
7401183,2018,2,1,Ciudades Medianas,740118,,,,,,,,0,,,
7401183,2019,3,1,Ciudades Medianas,740118,0.098147414624691,2,2,5,8,52,3,1,Trabajo Remunerado,Media,Soltero
7401183,2021,5,1,Ciudades Medianas,740118,0.088048167526722,2,2,5,1,54,3,1,Trabajo Remunerado,Media,En Pareja
7401183,2022,6,1,Ciudades Medianas,740118,0.329392075538635,2,2,5,1,55,,1,Trabajo Remunerado,Media,En Pareja
7401191,2016,0,1,Ciudades Medianas,740119,0.418999999761581,2,1,7,2,49,3,1,Trabajo Remunerado,Técnica,En Pareja
7401191,2017,1,1,Ciudades Medianas,740119,0.356936573982239,2,1,7,,50,6,1,Trabajo Remunerado,Técnica,
7401191,2018,2,1,Ciudades Medianas,740119,0.419089168310165,2,1,7,1,51,1,1,Trabajo Remunerado,Técnica,En Pareja
7401191,2019,3,1,Ciudades Medianas,740119,0.441663295030594,2,1,5,1,52,4,1,Trabajo Remunerado,Media,En Pareja
7401191,2021,5,1,Ciudades Medianas,740119,,,,,,,,0,,,
7401191,2022,6,1,Ciudades Medianas,740119,,,,,,,,0,,,
7401192,2016,0,1,Ciudades Medianas,740119,0.209999993443489,2,1,2,7,54,3,1,Trabajo Remunerado,Básica,Soltero
7401192,2017,1,1,Ciudades Medianas,740119,0.178468286991119,2,1,3,,55,2,1,Trabajo Remunerado,Básica,
7401192,2018,2,1,Ciudades Medianas,740119,0.209544584155083,2,1,3,7,56,1,1,Trabajo Remunerado,Básica,Soltero
7401192,2019,3,1,Ciudades Medianas,740119,0.147221118211746,2,1,2,7,57,5,1,Trabajo Remunerado,Básica,Soltero
7401192,2021,5,1,Ciudades Medianas,740119,0.176096335053444,2,1,2,7,59,2,1,Trabajo Remunerado,Básica,Soltero
7401192,2022,6,1,Ciudades Medianas,740119,0.247044041752815,2,1,2,7,60,,1,Trabajo Remunerado,Básica,Soltero
7401193,2016,0,1,Ciudades Medianas,740119,0.944999992847443,1,1,3,1,52,4,1,Trabajo Remunerado,Básica,En Pareja
7401193,2017,1,1,Ciudades Medianas,740119,0.780535757541657,1,1,3,,53,1,1,Trabajo Remunerado,Básica,
7401193,2018,2,1,Ciudades Medianas,740119,0.878526389598846,1,1,3,1,54,4,1,Trabajo Remunerado,Básica,En Pareja
7401193,2019,3,1,Ciudades Medianas,740119,,,,,,,,0,,,
7401193,2021,5,1,Ciudades Medianas,740119,,,,,,,,0,,,
7401193,2022,6,1,Ciudades Medianas,740119,1.67542839050293,1,2,3,1,58,,1,Trabajo Remunerado,Básica,En Pareja
7401211,2016,0,1,Ciudades Medianas,740121,0.629000008106232,2,7,2,1,50,4,1,Trabajo Doméstico No Remunerado,Básica,En Pareja
7401211,2017,1,1,Ciudades Medianas,740121,0.535404860973358,2,7,2,,52,1,1,Trabajo Doméstico No Remunerado,Básica,
7401211,2018,2,1,Ciudades Medianas,740121,1.88590109348297,2,7,3,1,53,1,1,Trabajo Doméstico No Remunerado,Básica,En Pareja
7401211,2019,3,1,Ciudades Medianas,740121,0.588884472846985,2,7,3,1,54,9,1,Trabajo Doméstico No Remunerado,Básica,En Pareja
7401211,2021,5,1,Ciudades Medianas,740121,0.176096335053444,2,7,2,1,55,2,1,Trabajo Doméstico No Remunerado,Básica,En Pareja
7401211,2022,6,1,Ciudades Medianas,740121,1.48226404190063,2,1,2,1,57,,1,Trabajo Remunerado,Básica,En Pareja
7401212,2016,0,1,Ciudades Medianas,740121,0.418999999761581,2,6,2,1,41,1,1,Desempleado,Básica,En Pareja
7401212,2017,1,1,Ciudades Medianas,740121,0.356936573982239,2,9,2,,42,14,1,Otras Categorías,Básica,
7401212,2018,2,1,Ciudades Medianas,740121,,,,,,,,0,,,
7401212,2019,3,1,Ciudades Medianas,740121,,,,,,,,0,,,
7401212,2021,5,1,Ciudades Medianas,740121,,,,,,,,0,,,
7401212,2022,6,1,Ciudades Medianas,740121,,,,,,,,0,,,
7401213,2016,0,1,Ciudades Medianas,740121,0.837999999523163,2,6,7,4,47,7,1,Desempleado,Técnica,Soltero
7401213,2017,1,1,Ciudades Medianas,740121,0.713873147964478,2,1,9,,48,21,1,Trabajo Remunerado,Universitaria,
7401213,2018,2,1,Ciudades Medianas,740121,,,,,,,,0,,,
7401213,2019,3,1,Ciudades Medianas,740121,,,,,,,,0,,,
7401213,2021,5,1,Ciudades Medianas,740121,,,,,,,,0,,,
7401213,2022,6,1,Ciudades Medianas,740121,,,,,,,,0,,,
7401221,2016,0,1,Ciudades Medianas,740122,0.209999993443489,2,6,2,7,61,2,1,Desempleado,Básica,Soltero
7401221,2017,1,1,Ciudades Medianas,740122,0.178468301892281,2,7,2,,62,3,1,Trabajo Doméstico No Remunerado,Básica,
7401221,2018,2,1,Ciudades Medianas,740122,0.209544569253922,2,2,4,7,63,1,1,Trabajo Remunerado,Media,Soltero
7401221,2019,3,1,Ciudades Medianas,740122,0.0368052795529366,2,7,3,7,65,3,1,Trabajo Doméstico No Remunerado,Básica,Soltero
7401221,2021,5,1,Ciudades Medianas,740122,0.033018060028553,2,5,2,7,66,3,1,Jubilado,Básica,Soltero
7401221,2022,6,1,Ciudades Medianas,740122,0.0617610104382038,2,5,3,7,68,,1,Jubilado,Básica,Soltero
7401222,2016,0,1,Ciudades Medianas,740122,0.629000008106232,2,2,4,2,56,1,1,Trabajo Remunerado,Media,En Pareja
7401222,2017,1,1,Ciudades Medianas,740122,0.535404860973358,2,2,4,,57,4,1,Trabajo Remunerado,Media,
7401222,2018,2,1,Ciudades Medianas,740122,0.628633677959442,2,2,4,7,58,1,1,Trabajo Remunerado,Media,Soltero
7401222,2019,3,1,Ciudades Medianas,740122,0.0736105591058731,2,2,4,7,59,3,1,Trabajo Remunerado,Media,Soltero
7401222,2021,5,1,Ciudades Medianas,740122,0.132072240114212,2,2,4,1,60,3,1,Trabajo Remunerado,Media,En Pareja
7401222,2022,6,1,Ciudades Medianas,740122,0.185283049941063,2,2,4,1,62,,1,Trabajo Remunerado,Media,En Pareja
7401223,2016,0,1,Ciudades Medianas,740122,0.418999999761581,2,4,7,1,32,2,1,Otras Categorías,Técnica,En Pareja
7401223,2017,1,1,Ciudades Medianas,740122,0.356936603784561,2,2,6,,33,5,1,Trabajo Remunerado,Técnica,
7401223,2018,2,1,Ciudades Medianas,740122,0.419089138507843,2,1,7,1,34,3,1,Trabajo Remunerado,Técnica,En Pareja
7401223,2019,3,1,Ciudades Medianas,740122,0.184026390314102,2,1,7,1,36,3,1,Trabajo Remunerado,Técnica,En Pareja
7401223,2021,5,1,Ciudades Medianas,740122,0.165090307593346,2,1,7,1,37,6,1,Trabajo Remunerado,Técnica,En Pareja
7401223,2022,6,1,Ciudades Medianas,740122,0.308805048465729,2,1,7,1,38,,1,Trabajo Remunerado,Técnica,En Pareja
7401231,2016,0,1,Ciudades Medianas,740123,0.418999999761581,2,7,5,1,32,5,1,Trabajo Doméstico No Remunerado,Media,En Pareja
7401231,2017,1,1,Ciudades Medianas,740123,0.356936573982239,2,7,5,,33,3,1,Trabajo Doméstico No Remunerado,Media,
7401231,2018,2,1,Ciudades Medianas,740123,0.628633737564087,2,7,5,1,34,1,1,Trabajo Doméstico No Remunerado,Media,En Pareja
7401231,2019,3,1,Ciudades Medianas,740123,0.276039570569992,2,7,5,1,36,6,1,Trabajo Doméstico No Remunerado,Media,En Pareja
7401231,2021,5,1,Ciudades Medianas,740123,0.165090307593346,2,7,5,1,37,3,1,Trabajo Doméstico No Remunerado,Media,En Pareja
7401231,2022,6,1,Ciudades Medianas,740123,0.741132199764252,2,7,5,1,39,,1,Trabajo Doméstico No Remunerado,Media,En Pareja
7401232,2016,0,1,Ciudades Medianas,740123,0.418999999761581,2,1,4,1,70,4,1,Trabajo Remunerado,Media,En Pareja
7401232,2017,1,1,Ciudades Medianas,740123,0.356936573982239,2,5,3,,71,7,1,Jubilado,Básica,
7401232,2018,2,1,Ciudades Medianas,740123,,,,,,,,0,,,
7401232,2019,3,1,Ciudades Medianas,740123,,,,,,,,0,,,
7401232,2021,5,1,Ciudades Medianas,740123,,,,,,,,0,,,
7401232,2022,6,1,Ciudades Medianas,740123,,,,,,,,0,,,
7401233,2016,0,1,Ciudades Medianas,740123,0.629000008106232,2,1,3,1,49,5,1,Trabajo Remunerado,Básica,En Pareja
7401233,2017,1,1,Ciudades Medianas,740123,0.535404860973358,2,1,3,,50,5,1,Trabajo Remunerado,Básica,
7401233,2018,2,1,Ciudades Medianas,740123,0.942950546741486,2,1,3,1,51,1,1,Trabajo Remunerado,Básica,En Pareja
7401233,2019,3,1,Ciudades Medianas,740123,0.165623739361763,2,1,3,1,53,3,1,Trabajo Remunerado,Básica,En Pareja
7401233,2021,5,1,Ciudades Medianas,740123,0.099054180085659,2,1,3,1,54,4,1,Trabajo Remunerado,Básica,En Pareja
7401233,2022,6,1,Ciudades Medianas,740123,,,,,,,,0,,,
7401251,2016,0,1,Ciudades Medianas,740125,0.839999973773956,1,1,4,1,33,2,1,Trabajo Remunerado,Media,En Pareja
7401251,2017,1,1,Ciudades Medianas,740125,0.693809688091278,1,1,4,,34,1,1,Trabajo Remunerado,Media,
7401251,2018,2,1,Ciudades Medianas,740125,,,,,,,,0,,,
7401251,2019,3,1,Ciudades Medianas,740125,,,,,,,,0,,,
7401251,2021,5,1,Ciudades Medianas,740125,,,,,,,,0,,,
7401251,2022,6,1,Ciudades Medianas,740125,,,,,,,,0,,,
7401253,2016,0,1,Ciudades Medianas,740125,0.839999973773956,1,6,5,4,21,2,1,Desempleado,Media,Soltero
7401253,2017,1,1,Ciudades Medianas,740125,0.693809688091278,1,6,5,,22,1,1,Desempleado,Media,
7401253,2018,2,1,Ciudades Medianas,740125,0.878526389598846,1,1,5,4,23,3,1,Trabajo Remunerado,Media,Soltero
7401253,2019,3,1,Ciudades Medianas,740125,0.909034013748169,1,1,5,4,25,4,1,Trabajo Remunerado,Media,Soltero
7401253,2021,5,1,Ciudades Medianas,740125,0.278213888406754,1,3,8,4,26,3,1,Trabajo Remunerado,Universitaria,Soltero
7401253,2022,6,1,Ciudades Medianas,740125,1.11695241928101,1,3,5,4,27,,1,Trabajo Remunerado,Media,Soltero
7401254,2016,0,1,Ciudades Medianas,740125,0.559000015258789,2,7,5,3,35,4,1,Trabajo Doméstico No Remunerado,Media,En Pareja
7401254,2017,1,1,Ciudades Medianas,740125,0.475915491580963,2,2,5,,36,1,1,Trabajo Remunerado,Media,
7401254,2018,2,1,Ciudades Medianas,740125,0.628633677959442,2,7,5,7,37,5,1,Trabajo Doméstico No Remunerado,Media,Soltero
7401254,2019,3,1,Ciudades Medianas,740125,0.588884472846985,2,1,5,7,39,3,1,Trabajo Remunerado,Media,Soltero
7401254,2021,5,1,Ciudades Medianas,740125,0.352192670106888,2,6,5,4,40,2,1,Desempleado,Media,Soltero
7401254,2022,6,1,Ciudades Medianas,740125,0.988176167011261,2,2,5,7,41,,1,Trabajo Remunerado,Media,Soltero
7404012,2016,0,1,Ciudades Medianas,740401,0.136000007390976,2,5,2,5,72,4,1,Jubilado,Básica,Soltero
7404012,2017,1,1,Ciudades Medianas,740401,0.116120681166649,2,5,4,,73,5,1,Jubilado,Media,
7404012,2018,2,1,Ciudades Medianas,740401,0.0908936634659767,2,5,4,5,75,1,1,Jubilado,Media,Soltero
7404012,2019,3,1,Ciudades Medianas,740401,0.0425731800496578,2,5,4,5,76,3,1,Jubilado,Media,Soltero
7404012,2021,5,1,Ciudades Medianas,740401,0.0381924547255039,2,5,4,5,77,6,1,Jubilado,Media,Soltero
7404012,2022,6,1,Ciudades Medianas,740401,,,,,,,,0,,,
7404013,2016,0,1,Ciudades Medianas,740401,0.273000001907349,2,2,5,4,47,2,1,Trabajo Remunerado,Media,Soltero
7404013,2017,1,1,Ciudades Medianas,740401,0.232241362333298,2,1,5,,48,6,1,Trabajo Remunerado,Media,
7404013,2018,2,1,Ciudades Medianas,740401,0.181787326931953,2,7,5,2,49,2,1,Trabajo Doméstico No Remunerado,Media,En Pareja
7404013,2019,3,1,Ciudades Medianas,740401,0.127719536423683,2,7,7,2,50,4,1,Trabajo Doméstico No Remunerado,Técnica,En Pareja
7404013,2021,5,1,Ciudades Medianas,740401,0.114577353000641,2,7,5,2,51,4,1,Trabajo Doméstico No Remunerado,Media,En Pareja
7404013,2022,6,1,Ciudades Medianas,740401,0.428638935089111,2,2,5,4,53,,1,Trabajo Remunerado,Media,Soltero
7404021,2016,0,1,Ciudades Medianas,740402,0.683000028133392,1,1,8,4,36,3,1,Trabajo Remunerado,Universitaria,Soltero
